"id"	"sheet_no"	"cas"	"cas_no"	"goods_name"
"242"	"表4"	"[稀硫酸溶液]"	"NA"	"稀硫酸溶液"
"243"	"表4"	"[硫酸溶液]"	"NA"	"硫酸溶液"
"244"	"表2"	"7782-39-0"	"7782-39-0"	"氘"
"245"	"表2"	"17702-41-9"	"17702-41-9"	"癸硼烷"
"246"	"表2"	"19287-45-7"	"19287-45-7"	"乙硼烷"
"247"	"表2"	"19624-22-7"	"19624-22-7"	"戊硼烷"
"248"	"表2"	"2699-79-8"	"2699-79-8"	"硫酰氟"
"249"	"表2"	"3982-91-0"	"3982-91-0"	"硫代磷酰氯"
"250"	"表2"	"7791-27-7"	"7791-27-7"	"二硫酰氯"
"251"	"表2"	"7719-09-7"	"7719-09-7"	"氯化亚砜"
"252"	"表2"	"23321-74-6"	"23321-74-6"	"氨基钙"
"253"	"表2"	"7782-89-0"	"7782-89-0"	"氨基锂"
"254"	"表2"	"1306-25-8"	"1306-25-8"	"碲化镉"
"255"	"表2"	"15385-57-6"	"15385-57-6"	"碘化汞(Ⅰ)"
"256"	"表2"	"7774-29-0"	"7774-29-0"	"碘化汞(Ⅱ)"
"257"	"表4"	"32248-43-4[易燃溶剂溶液]"	"32248-43-4"	"碘化钐(Ⅱ)，溶液"
"258"	"表4"	"32248-43-4"	"32248-43-4"	"碘化钐(Ⅱ)"
"259"	"表2"	"7790-30-9"	"7790-30-9"	"碘化铊(Ⅰ)"
"260"	"表2"	"13453-37-7"	"13453-37-7"	"碘化铊(Ⅲ)"
"261"	"表1"	"7790-44-5"	"64013-16-7"	"碘化锑(Ⅲ)"
"262"	"表2"	"7790-44-5"	"7790-44-5"	"碘化锑(Ⅲ)"
"263"	"表2"	"7790-47-8"	"7790-47-8"	"碘化锡(Ⅳ)"
"264"	"表2"	"9080-17-5"	"9080-17-5"	"多硫化铵，水溶液"
"265"	"表2"	"50864-67-0"	"50864-67-0"	"多硫化钡"
